thn,reviewer_id,persons,persons_count
2025,114744261446821184538,staf,1
2025,114212660577430274555,perawat,3
2025,114212660577430274555,dokter,2
2025,108275676381970107741,pendonor,1
2025,110046320366141568408,pasien,1
2025,110046320366141568408,bayi,1
2025,107106413120098302577,perawat,2
2025,111340351260353920442,pasien,1
2025,111340351260353920442,dokter,1
2025,108670662579000158768,petugas,2
2025,108670662579000158768,security,1
2025,111385796036019085836,dokter,1
2025,112084771131758666723,perawat,1
2025,103293656883669295430,perawat,1
2025,103293656883669295430,dokter,1
2025,103293656883669295430,staf,1
2025,107997758326233762774,perawat,1
2025,105132432045727153590,pasien,1
2025,105132432045727153590,dokter,1
2025,117465927416697633738,dokter muda,1
2025,117465927416697633738,perawat,3
2025,117465927416697633738,dokter spesialis,5
2025,117465927416697633738,pasien,12
2025,117465927416697633738,dokter,9
2025,101796006888494125139,perawat,5
2025,101796006888494125139,pasien,7
2025,101796006888494125139,admisi,1
2025,101796006888494125139,petugas,3
2025,101796006888494125139,dokter,9
2025,104507441059908994525,petugas,3
2025,104507441059908994525,pegawai,1
2025,114253291625065129687,perawat,1
2025,114253291625065129687,satpam,1
2025,113951398805396315677,dokter,2
2025,109427271412592215646,petugas,2
2025,111818094540063408833,admin,1
2025,111818094540063408833,admin,1
2025,115482175594544512402,pasien,2
2025,115482175594544512402,pendonor,1
2025,112280921294796954962,petugas,1
2025,112280921294796954962,bayi,1
2025,101388639437441881731,pasien,2
2025,101388639437441881731,petugas,6
2025,101388639437441881731,dokter,2
2025,101388639437441881731,bayi,2
2025,101388639437441881731,bidan,1
2025,114763842041032746132,petugas,1
2025,114763842041032746132,dokter,4
2024,118248825759705771901,dokter spesialis,1
2024,118248825759705771901,pasien,1
2024,118248825759705771901,dokter,2
2024,100987721452894670374,pasien,1
2024,110214615746654939971,petugas,1
2024,106034291530071396836,pasien,1
2024,107349515163457639793,perawat,3
2024,116744899228720567273,perawat,1
2024,116744899228720567273,pasien,2
2024,100050498439450386492,pasien,1
2024,112177331850159664652,pasien,1
2024,115840950520255303742,satpam,1
2024,115840950520255303742,dokter,1
2024,115840950520255303742,security,1
2024,115840950520255303742,staf,1
2024,117349216533266434294,satpam,1
2024,114699139521220839885,perawat,1
2024,114699139521220839885,pasien,1
2024,114699139521220839885,resepsionis,2
2024,106024699818034465479,perawat,1
2024,112460030330228988394,satpam,1
2024,107477364685951685587,pasien,3
2024,107477364685951685587,apoteker,1
2024,104165428139990582980,perawat,3
2024,104165428139990582980,pasien,2
2024,104165428139990582980,security,3
2024,105087868552221116688,pasien,1
2024,105087868552221116688,dokter,1
2024,114109619847773723000,karyawan,1
2024,110051948540488766330,satpam,1
2024,108006529991697185066,perawat,2
2024,108006529991697185066,pasien,3
2024,108006529991697185066,dokter,2
2024,102418824012994409488,pasien,3
2024,102418824012994409488,apoteker,1
2024,102418824012994409488,kasir,2
2024,103592441345875608976,petugas,1
2024,102735240044609414435,perawat,2
2024,102735240044609414435,dokter,1
2024,104651664238559211991,perawat,1
2024,104651664238559211991,dokter,1
2024,115177067718709757677,satpam,1
2024,109443200960466366666,perawat,1
2024,108135135332414632566,perawat,1
2024,108135135332414632566,pasien,1
2024,118412015159465596505,dokter spesialis,1
2024,118412015159465596505,dokter,1
2024,102659191292625684316,petugas,1
2024,118264643261545704622,pasien,1
2024,118264643261545704622,dokter,1
2024,116011707012788793609,pasien,1
2024,106192653845520831669,pasien,3
2024,106192653845520831669,satpam,2
2024,100914005359348930494,perawat,1
2024,116936253872518341625,perawat,1
2024,116936253872518341625,dokter,1
2024,108850988026426824935,perawat,1
2024,104104269190389176497,perawat,1
2024,104104269190389176497,dokter,1
2024,106303465602660946917,perawat,1
2024,106303465602660946917,dokter,1
2024,106303465602660946917,security,1
2024,106046143361324551172,direktur,2
2024,106046143361324551172,perawat,1
2024,106046143361324551172,pasien,1
2024,106046143361324551172,dokter,2
2024,106046143361324551172,bidan,1
2024,114510333707196629026,perawat,1
2024,114510333707196629026,dokter,1
2024,110822825861572941249,perawat,2
2024,110822825861572941249,dokter,1
2024,103912605587166176380,perawat,1
2024,103912605587166176380,pasien,2
2024,103912605587166176380,admin,1
2024,103912605587166176380,staf,2
2024,103912605587166176380,admin,1
2024,103731299494975203575,perawat,1
2024,103731299494975203575,pasien,1
2024,103731299494975203575,dokter,2
2024,103731299494975203575,kasir,1
2024,103731299494975203575,staf,3
2024,114930218952071510528,dokter,1
2024,113040753031216115829,perawat,1
2024,113040753031216115829,pasien,1
2024,113040753031216115829,dokter,1
2024,107934654021734062754,perawat,1
2024,107934654021734062754,dokter,1
2024,109869836753134622411,perawat,1
2024,109869836753134622411,pasien,1
2024,109869836753134622411,dokter,1
2024,109369065433814745036,pasien,2
2024,109369065433814745036,ners,1
2024,109369065433814745036,staf,1
2024,109855739557925327421,karyawan,1
2024,102289592817084603513,pasien,3
2024,102289592817084603513,staf,2
2024,112562794904742531193,dokter,2
2024,112562794904742531193,staf,2
2024,112562794904742531193,suster,2
2024,112562794904742531193,fnb,1
2024,112562794904742531193,tenaga kebersihan,1
2024,116412454346594102965,petugas,2
2024,116412454346594102965,dokter,1
2024,116412454346594102965,staf,1
2024,102927523626392127442,perawat,1
2024,102927523626392127442,pasien,1
2024,102927523626392127442,dokter,1
