thn,pengaduan_id,places,places_count
2025,2025000025,picu,1
2024,20240024,apotek,2
2024,20240024,igd,1
2024,20240022,parkir,3
2024,20240020,poli,1
2024,20240020,poli bedah,1
2024,20240019,rsud kota mataram,1
2024,20240016,igd,1
2024,20240015,nicu,2
2024,20240013,ruang vip,1
2024,20240013,vip,1
2024,20240010,ruangan,1
2024,20240010,vip,1
2024,20240009,ruang tunggu,1
2024,20240008,poli,1
2024,20240007,poli,1
2024,20240007,poli gigi,1
2024,20240006,loket,1
2024,20240005,reservasi,1
2024,20240001,apotek,1
2024,20240001,igd,1
